numero_partido,votos_legenda,nome_partido,sigla_partido
25,12,Democratas,DEM
23,201,Cidadania,CIDADANIA
40,21,Partido Socialista Brasileiro,PSB
43,12,Partido Verde,PV
45,33,Partido da Social Democracia Brasileira,PSDB
17,5,Partido Social Liberal,PSL
10,161,REPUBLICANOS,REPUBLICANOS
77,7,Solidariedade,SOLIDARIEDADE
11,150,PROGRESSISTAS,PP
22,81,Partido Liberal,PL
