numero_partido,votos_legenda,nome_partido,sigla_partido
23,32,Cidadania,CIDADANIA
55,17,Partido Social Democrático,PSD
12,48,Partido Democrático Trabalhista,PDT
40,193,Partido Socialista Brasileiro,PSB
45,30,Partido da Social Democracia Brasileira,PSDB
51,9,Patriota,PATRIOTA
10,22,REPUBLICANOS,REPUBLICANOS
19,153,Podemos,PODE
