numero_partido,votos_legenda,nome_partido,sigla_partido
55,159,Partido Social Democrático,PSD
40,12,Partido Socialista Brasileiro,PSB
51,9,Patriota,PATRIOTA
10,19,REPUBLICANOS,REPUBLICANOS
19,22,Podemos,PODE
23,13,Cidadania,CIDADANIA
25,178,Democratas,DEM
22,28,Partido Liberal,PL
12,54,Partido Democrático Trabalhista,PDT
