numero_partido,votos_legenda,nome_partido,sigla_partido
15,45,Movimento Democrático Brasileiro,MDB
28,2,Partido Renovador Trabalhista Brasileiro,PRTB
12,32,Partido Democrático Trabalhista,PDT
11,30,PROGRESSISTAS,PP
40,24,Partido Socialista Brasileiro,PSB
13,9,Partido dos Trabalhadores,PT
10,102,REPUBLICANOS,REPUBLICANOS
