numero_partido,votos_legenda,nome_partido,sigla_partido
25,25,Democratas,DEM
23,166,Cidadania,CIDADANIA
40,15,Partido Socialista Brasileiro,PSB
45,37,Partido da Social Democracia Brasileira,PSDB
13,20,Partido dos Trabalhadores,PT
77,13,Solidariedade,SOLIDARIEDADE
10,23,REPUBLICANOS,REPUBLICANOS
11,155,PROGRESSISTAS,PP
