numero_partido,votos_legenda,nome_partido,sigla_partido
23,21,Cidadania,CIDADANIA
11,14,PROGRESSISTAS,PP
25,132,Democratas,DEM
12,36,Partido Democrático Trabalhista,PDT
20,4,Partido Social Cristão,PSC
14,17,Partido Trabalhista Brasileiro,PTB
40,183,Partido Socialista Brasileiro,PSB
10,116,REPUBLICANOS,REPUBLICANOS
