numero_partido,votos_legenda,nome_partido,sigla_partido
11,23,PROGRESSISTAS,PP
55,36,Partido Social Democrático,PSD
43,13,Partido Verde,PV
40,64,Partido Socialista Brasileiro,PSB
19,63,Podemos,PODE
10,13,REPUBLICANOS,REPUBLICANOS
